id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
59263,Women,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Titan Women Silver Watch
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,2012,Casual,Jealous 21 Women Purple Shirt
48123,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Fossil Women Black Huarache Weave Belt
47957,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,Murcia Women Blue Handbag
42419,Girls,Apparel,Topwear,Tops,White,Summer,2012,Casual,Gini and Jony Girls Knit White Top
51832,Women,Apparel,Innerwear,Bra,Beige,Summer,2016,Casual,Bwitch Beige Full-Coverage Bra BW335
47359,Women,Accessories,Bags,Handbags,Brown,Summer,2012,Casual,Baggit Women Brown Handbag
48311,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,2012,Casual,Pitaraa Women Bronze Beaded Bracelet
56019,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037
21977,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Casual Brown Handbag
59051,Women,Footwear,Shoes,Flats,Black,Winter,2012,Casual,Carlton London Women Black & Gold Toned Flats
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,2011,Ethnic,Diva Women Embroided Green Kurta
58183,Women,Accessories,Bags,Handbags,White,Summer,2012,Casual,Rocky S Women White Handbag
29742,Women,Accessories,Bags,Handbags,Teal,Summer,2012,Casual,Kiara Women Teal Handbag
51658,Women,Accessories,Watches,Watches,Copper,Winter,2016,Casual,Fossil Women Copper Chronograph Watch CH2589
3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,Jealous 21 Women's Pink T-shirt
2886,Women,Footwear,Shoes,Flats,Brown,Winter,2015,Casual,Catwalk Women Leather Brown Flats
28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012,Ethnic,W Women Printed Beige Kurta
38402,Women,Accessories,Belts,Belts,Black,Summer,2012,Casual,Baggit Women Hood Dabang Black Belt
44984,Women,Accessories,Watches,Watches,White,Winter,2016,Casual,Maxima Women White Dial Watch
45856,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012,Ethnic,Vishudh Women Brown Kurta
38630,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012,Casual,Nike Women Purple Polo T-shirt
59607,Women,Apparel,Saree,Sarees,Grey,Fall,2012,Ethnic,FNF Pink & Grey Wedding Collection Sari
42841,Women,Accessories,Bags,Handbags,Beige,Summer,2012,Casual,French Connection Women Beige Handbag
43993,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,2017,Casual,Police Women Passion Perfume
35913,Women,Accessories,Bags,Handbags,Black,Summer,2012,Casual,Peperone Women Black & White Handbag
2288,Women,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Nike Women Black T-shirt
54118,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Rocia Women Black Flats
2872,Women,Footwear,Shoes,Heels,Brown,Winter,2015,Casual,Catwalk Women Leather Flats
49653,Women,Apparel,Topwear,Tops,Green,Summer,2012,Casual,Mineral Women Green Top
8574,Women,Footwear,Sandal,Sandals,Pink,Fall,2011,Casual,Crocs Dora Boots Pink Sandals
48781,Women,Accessories,Jewellery,Pendant,Silver,Summer,2012,Casual,Lucera Women Silver Pendant
56489,Women,Personal Care,Nails,Nail Polish,Bronze,Spring,2017,,Streetwear Ash Nail Polish # 31
58513,Women,Apparel,Topwear,Tops,Off White,Summer,2012,Casual,Tonga Women Maroon Top
25947,Women,Accessories,Scarves,Scarves,Brown,Summer,2012,Casual,Femella Women Brown Scarf
39716,Women,Apparel,Dress,Dresses,Blue,Summer,2012,Casual,Arrow Woman Women Blue Dress
55802,Women,Apparel,Loungewear and Nightwear,Night suits,White,Summer,2017,Casual,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124
43967,Women,Personal Care,Fragrance,Perfume and Body Mist,Red,Spring,2017,Casual,DKNY Women Red Delicious Perfume
28456,Women,Apparel,Bottomwear,Skirts,Blue,Summer,2012,Sports,Urban Yoga Women Blue Skirt With Leggings
34009,Girls,Apparel,Topwear,Tops,Black,Summer,2012,Casual,Gini and Jony Girls Black Top
11518,Women,Footwear,Shoes,Heels,Grey,Winter,2015,Casual,Catwalk Women Gun Metal Grey Heels
14856,Women,Accessories,Wallets,Wallets,Beige,Summer,2011,Casual,United Colors of Benetton Women Solid Beige Wallets
27846,Women,Apparel,Topwear,Blazers,Charcoal,Summer,2012,Formal,Scullers For Her Charcoal Blazer
26994,Women,Apparel,Bottomwear,Jeans,Black,Summer,2012,Casual,Jealous 21 Women Black Jeans
49839,Women,Footwear,Flip Flops,Flip Flops,Red,Winter,2012,Casual,iPanema Women Red Flip Flops
31923,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,Fabindia Women Blue Silk Sling Bag
2618,Women,Footwear,Shoes,Flats,Silver,Spring,2010,Casual,Carlton London Women Silver Wedge Sandal
54588,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Sushilas Women Printed Green Kurta
49005,Women,Accessories,Jewellery,Ring,Silver,Summer,2012,Casual,Lucera Women Silver Ring
36934,Women,Personal Care,Fragrance,Perfume and Body Mist,Gold,Spring,2017,Casual,Giorgio Armani Women Idole Perfume
